"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,40279718508.0558,48587442449.2043,33662971107.5902,10104285206.8487,25591624665.0892,65410247701.816,107162290850.447,0.00206562659015671,0.00249166371534381,40279.7185080558,48587.4424492043
1842,2111,40871073820.5804,49040343695.3715,33627619414.5305,10335010344.7696,26147265600.4923,66148921326.6987,107071395851.703,0.00209595250361951,0.00251488942027546,40871.0738205804,49040.3436953714
1843,2111,41667989648.6898,49932593078.0347,33828647368.7726,10487466727.1747,26966750950.4782,67408775928.7686,108171754359.007,0.0021368199819841,0.00256064579887357,41667.9896486899,49932.5930780347
1844,2111,41660910676.1972,49723160627.8939,33545228308.7224,10467686862.0852,26962453803.6625,67121330245.067,107613520969.709,0.0021364569577537,0.00254990567322533,41660.9106761972,49723.1606278939
1845,2111,41575698825.1536,49687313645.9036,33820223239.9372,10310475116.7232,26507566800.0133,66856661245.8549,108520335737.33,0.00213208711923865,0.0025480673664566,41575.6988251536,49687.3136459036
1846,2111,40218919529.062,48269854869.2775,32857866105.3322,10167156478.4644,25816209593.6573,64692229720.8577,105672525121.304,0.00206250869379805,0.00247537717278346,40218.919529062,48269.8548692775
1847,2111,40206237420.5501,48219135287.2813,33053808865.6037,10070100408.1062,25547678738.8976,64688142516.1086,105771691755.065,0.00206185832925898,0.00247277616857853,40206.2374205501,48219.1352872813
1848,2111,40291928368.9671,48340816627.6202,33072859964.8102,10143294956.0918,25666420686.5251,65032172548.6878,105865114099.124,0.00206625273687011,0.00247901623731386,40291.9283689671,48340.8166276202
1849,2111,40482710518.2799,48534641713.0749,33008692685.518,10238859287.0041,26013498596.3661,65230696504.8243,106126402115.485,0.00207603643683487,0.00248895598528589,40482.7105182799,48534.6417130749
1850,2111,40939313210.4793,49075465111.5747,33315921155.6254,10304436849.8721,26309437356.3231,66050100410.4738,106975344305.693,0.00209945195951176,0.00251669051854229,40939.3132104793,49075.4651115747
1851,2111,40692006315.9511,48690381650.5603,32916176845.1189,10287207462.4523,26281058946.3806,65388506551.0337,105759041983.467,0.00208676955466416,0.00249694264874668,40692.0063159511,48690.3816505603
1852,2111,41073528230.5444,48995940100.8951,32863431212.2567,10387553272.296,26564766119.8993,65891275885.919,106110333422.588,0.00210633478105356,0.00251261231286642,41073.5282305444,48995.9401008951
1853,2111,41447020847.6271,49303735354.9996,32870863524.3482,10473396339.9537,26854872891.2943,66502841247.7476,106655744884.937,0.00212548824859626,0.00252839668487177,41447.0208476271,49303.7353549996
