"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,11900336718.2719,1021848595498.8,4282558008319.01,1317687375.35501,5011834779.82479,61796690677.4546,5101639639536.55,0.00807163113436573,0.693088366598229,11900.3367182719,1021848.5954988
1842,2111,11947165691.7385,1032275549570.97,4343053887830.39,1326413932.59981,5019148449.42601,61394548112.9762,5079612685400.14,0.00810339378185813,0.700160647754468,11947.1656917385,1032275.54957097
1843,2111,12199851959.6756,1058936917335.94,4441172890363.92,1381328193.41762,5100224553.80256,62295681901.8989,5139487983063.83,0.00827478307913542,0.718244230700998,12199.8519596756,1058936.91733594
1844,2111,12193816793.6259,1054133722416.53,4401133825109.82,1400872395.11639,5123762026.18925,62463359016.8324,5101152522877.11,0.00827068961225788,0.714986371820719,12193.8167936259,1054133.72241653
1845,2111,12457086418.5178,1065832492399,4433065883915.25,1432927874.04186,5236438648.4532,63010494680.7556,5225497480671.8,0.00844925727393988,0.722921286458831,12457.0864185178,1065832.492399
1846,2111,11787651454.4036,1011627142315.68,4241983493521.54,1346671297.62309,5011788240.28872,59353519895.1101,4927630379490.92,0.00799520019751442,0.686155470352978,11787.6514544036,1011627.14231568
1847,2111,11788067501.1098,1021916370088.48,4333321200691.34,1320980932.39517,5045775834.42295,59173545479.5715,4949015830333.25,0.00799548238915543,0.693134336010787,11788.0675011098,1021916.37008848
1848,2111,11757089653.5564,1019822673959.76,4324414086029.62,1316819355.9823,5040304312.60858,58526104826.0118,4948627830631.5,0.00797447107118123,0.691714246541173,11757.0896535564,1019822.67395976
1849,2111,11713262851.4029,1019625058769.17,4327535936371.91,1308484607.62124,4981307173.92294,58193951186.7554,4928878751452.93,0.00794474470383914,0.691580210256087,11713.2628514029,1019625.05876917
1850,2111,12068527964.1782,1038767204657.16,4374541585729.79,1350047395.73683,5112901671.01523,59344556076.7467,5048622876519.59,0.00818571006583836,0.704563737057546,12068.5279641782,1038767.20465716
