"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,27286332316151.9,28839585786625,11009016538938.8,13184934252325.8,21056451104818.6,35514911815293.7,49129983784380.1,1.39929909313599,1.47895311726282,27286332.3161519,28839585.786625
1842,2111,27705819929824.6,29244751351535.6,10962606034526.9,13652681122963,21489494523274.7,35861083255924.2,49202409572461.3,1.42081127845255,1.49973083854028,27705819.9298246,29244751.3515356
1843,2111,28335899113296,29812404184945.5,10935409782895.6,14095477832077.4,22076352736708.8,36400193544424,49740017675719.8,1.45312303145108,1.52884124025361,28335899.113296,29812404.1849455
1844,2111,28182916984404.8,29717936468764.9,10870644078937.5,14109658514872.7,22061989412963.7,36396163058172.7,49692170696260.3,1.44527779407204,1.52399674198795,28182916.9844048,29717936.4687649
1845,2111,27976151206452.7,29513542876437.8,11002738120571.7,13748128894669.2,21761268715076.2,36253485430509.5,49801236720157.1,1.43467442084373,1.5135150193045,27976151.2064527,29513542.8764378
1846,2111,27403948515381.1,28948804736452,10889730214571.9,13519458681461.4,21309765556123,35546254626910,48925650119015.3,1.40533069309646,1.48455408904882,27403948.5153811,28948804.736452
1847,2111,27377758820112.5,28945683587068.6,10989355088946.7,13522616532893.7,21250344189164.8,35615384327386.5,49167337538269.9,1.40398763180064,1.48439403010608,27377758.8201125,28945683.5870686
1848,2111,27332849581144.4,28978405290932.6,10977929570753.6,13625160941551.6,21289303025626.8,35607309379274.4,49141006603217,1.40168459390484,1.48607206620167,27332849.5811444,28978405.2909326
1849,2111,27617352106507.4,29205944407193.6,10949119198321.6,13831591195284.5,21537004210627.8,35811305323445,49225611240777.6,1.41627446700038,1.49774073883044,27617352.1065074,29205944.4071936
1850,2111,27741968035445.7,29318219470936.9,10962779164189.4,13781866749754.8,21655510134872.6,35926427641619.1,49439643959682.3,1.42266502745876,1.50349843440702,27741968.0354457,29318219.4709369
1851,2111,27665369442409.7,29242397096922.9,10906155772119,13786252028109.5,21596403030492.9,35804260717485,49186967228237.6,1.41873689448255,1.49961010753451,27665369.4424097,29242397.0969229
1852,2111,28103643019980.7,29627771856236.1,10906621659044.9,14019300512268.2,21984319034272.6,36214176143694.4,49492643641283.9,1.44121246256311,1.51937291570442,28103643.0199807,29627771.8562361
1853,2111,28389480062041.3,29871796393588.7,10890952449296.5,14109805167795.8,22283355020308.3,36465241711911.8,49739593754034.5,1.45587077241238,1.53188699454301,28389480.0620413,29871796.3935887
