"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsBiomass_t"
1841,"mesozooplankton",2111,4639989.47579938,8115071.60618766,12352904.5021073,16888694.125059,19980297.2393988,24118062.6054459,28093905.4845567,NA
1841,"other krill",2111,179690.527304362,1350073.34587315,5028275.0529362,11152673.4455988,30452966.6671886,77651546.9150545,126700598.203348,NA
1841,"other macrozooplankton",2111,1441416.30021724,7506904.69314501,14455399.577549,17942596.3136983,21914542.4992479,27149244.0836739,37055942.7367574,NA
1841,"antarctic krill",2111,149569.523178143,1998946.6050322,7068994.16436447,12805936.2567954,23987734.8407346,36172145.7576294,57553117.3244909,NA
1841,"salps",2111,106840.873841188,382432.253764122,806915.182423304,1044140.61917727,1524073.0453019,2053032.33657234,2883622.02821722,NA
1841,"mesopelagic fishes",2111,40215.8456258288,524263.605850491,1211500.26799376,1741167.46985023,2589579.53826737,3559749.4845083,4644766.26011625,NA
1841,"bathypelagic fishes",2111,341458.010133773,944429.634764478,1612325.86400084,2354802.67098407,3258018.11548146,4477585.99775894,7666947.2743028,NA
1841,"shelf and coastal fishes",2111,1121405.69538104,2463916.98753332,4203450.55453601,4876612.19320052,5551583.05009586,6277238.80033705,7574611.61051149,NA
1841,"flying birds",2111,3964.8992367295,5439.66799404783,5948.24331014174,6027.32203833424,6133.60529587199,6337.25416462668,6640.46016859654,NA
1841,"small divers",2111,11167.8078122368,22311.4280782445,35303.7120172544,38009.4259564602,40355.1413239144,43114.5065901026,48602.6497655942,NA
1841,"squids",2111,35679.4670867711,86587.2811858758,120429.234913332,140293.072943895,168250.573322818,295302.718535637,429621.248944598,NA
1841,"toothfishes",2111,2460.05441365488,128510.575418189,584407.098369288,993375.038144474,1346512.67144182,1825847.49398472,2765156.26430446,NA
1841,"leopard seals",2111,417.40665537906,1723.15051299887,2573.41091065089,3251.63119782556,3767.04199923359,4649.03519388723,49675.4184992454,NA
1841,"medium divers",2111,55735.3947988794,151386.690347473,279756.383890441,421549.178278897,675865.383327812,912676.049507903,1932385.33529123,NA
1841,"large divers",2111,1908.19125535109,5454.65864466953,11209.2352591581,19040.6670109715,45097.2512290365,352118.619440766,4484703.26776779,NA
1841,"minke whales",2111,1462.64450525586,6373.34694370534,13444.1169939342,27407.7155688604,103850.932787009,24141746.2274888,237085415.2836,NA
1841,"orca",2111,4198.11109182719,6686.34470323727,8285.55774586384,8938.0854342378,10283.4880909801,20246.4562197641,359337.394376099,NA
1841,"sperm whales",2111,10561.124989541,14394.3720737714,20648.7772234663,25089.0427580529,117575.226877018,2952986.57123285,14752344.305267,NA
1841,"baleen whales",2111,104753.621601598,176394.393741479,904068.697200186,908415.976059412,3453914.96790148,19961804.5571354,117006996.619908,NA
1842,"mesozooplankton",2111,6921592.28836164,10161861.5615558,13730132.4048148,18272407.2998587,21330327.1819325,25593432.0922074,30078071.8491284,NA
1842,"other krill",2111,211741.689799884,1593515.98476656,5707052.23177455,12194630.7947983,31643056.1790449,78730686.3442622,127014907.596026,NA
1842,"other macrozooplankton",2111,1499944.22244983,8058283.48898846,15584191.204147,19739816.9991811,23654777.3773424,29702089.6249105,39118331.1576485,NA
1842,"antarctic krill",2111,155121.875701653,2043175.85497408,7328710.48511191,13173733.7181472,24265016.4367451,36514192.7403233,57656407.7649815,NA
1842,"salps",2111,108771.141678756,397483.699749497,827794.567271668,1070182.92027556,1543800.28674679,2067077.60453693,2883201.18255403,NA
1842,"mesopelagic fishes",2111,39374.2929641132,524924.764852214,1213820.28898273,1745842.18492355,2577435.56661043,3536734.06658824,4639886.31229163,NA
1842,"bathypelagic fishes",2111,335427.721712094,954726.366689209,1605294.2723023,2339483.37771055,3227897.35367669,4462925.4124357,7648803.01843057,NA
1842,"shelf and coastal fishes",2111,1120412.42795547,2456330.12882615,4195774.61514614,4868050.69248522,5546140.92765071,6270141.70622442,7569498.38157787,NA
1842,"flying birds",2111,3967.09032967617,5449.32939952529,5951.13426516443,6028.71761606987,6134.79663255221,6337.98001239918,6640.11435339024,NA
1842,"small divers",2111,11191.2723127348,22339.5960185155,35341.6091900731,38045.7486209858,40375.9980024806,43143.4955819087,48593.4587272199,NA
1842,"squids",2111,35355.445529099,86345.8382552376,120068.310818849,139916.340050782,167732.447773979,295342.097569787,429715.680371209,NA
1842,"toothfishes",2111,2459.90707469676,129789.152335672,585709.986998042,993943.693135298,1347172.34565174,1826657.41155922,2765156.97612626,NA
1842,"leopard seals",2111,418.204010250588,1727.25055237446,2573.56160329137,3252.16966321461,3768.10771725179,4649.93634378656,49228.6110040041,NA
1842,"medium divers",2111,55862.0003025896,151434.963880844,279495.744619985,421383.710619504,675308.661513094,909536.06285896,1924894.04417777,NA
1842,"large divers",2111,1913.01941697592,5464.50254152824,11215.9090889039,19030.0038699676,45042.7263108242,349419.888948602,4460903.02996521,NA
1842,"minke whales",2111,1482.70096483995,6381.78524847461,13446.8926897204,27389.2105601743,103295.881145448,24058578.8541334,236300391.90494,NA
1842,"orca",2111,4208.11226259555,6692.40276077752,8286.9834474364,8938.79000258852,10280.4277119438,20216.532515815,358383.222773782,NA
1842,"sperm whales",2111,10569.0418581659,14399.7499564972,20643.6015464041,25076.5131085403,117394.285235952,2947682.55609473,14725719.2898459,NA
1842,"baleen whales",2111,104837.554937643,176415.014880523,903167.323388959,907521.927531301,3449761.19844641,19936517.7833532,116857599.617445,NA
1843,"mesozooplankton",2111,6797151.66941159,9886862.02939197,13782233.5941453,18134119.8398226,21104588.7045156,25257637.6605522,29585197.2473526,NA
1843,"other krill",2111,247609.387553517,1747922.63475368,5857549.23548927,12224395.6834633,31214967.9813502,75700294.8221921,124168198.995509,NA
1843,"other macrozooplankton",2111,1615110.32211894,8639387.73078489,16389249.7264813,20324042.4585541,24552549.1293475,29873140.2362763,39731532.753504,NA
1843,"antarctic krill",2111,166833.691705711,2122360.79459982,7616284.41949117,13543542.731114,24540959.220713,36761612.9527337,57632951.1397596,NA
1843,"salps",2111,112175.437763594,409430.74425973,847507.260200766,1089197.67629041,1558608.02700374,2082040.33999255,2889474.42342287,NA
1843,"mesopelagic fishes",2111,40249.6645888374,533188.930767459,1237455.68295463,1771278.64782054,2597566.24038454,3549683.48515227,4656089.32818882,NA
1843,"bathypelagic fishes",2111,337893.484802298,971324.102208803,1626639.48929267,2348067.21864109,3231942.89629987,4476189.26350918,7650210.00341595,NA
1843,"shelf and coastal fishes",2111,1125443.47156793,2455773.06755975,4193707.98202576,4866364.39383492,5543352.98100159,6266917.21602302,7568490.99743462,NA
1843,"flying birds",2111,3967.6351849352,5454.4488834181,5951.92443534202,6029.59034864846,6134.65812901344,6337.58050529255,6639.5843024515,NA
1843,"small divers",2111,11210.149525494,22367.7646918651,35383.7048521136,38094.3519452147,40388.7886495009,43157.7053217215,48585.860112184,NA
1843,"squids",2111,35140.7166713303,86215.3356753853,119751.43501433,139705.651047472,167472.421764848,295366.066684224,429684.391761101,NA
1843,"toothfishes",2111,2474.63951820646,131067.406177099,586995.704683891,994610.260741807,1347257.07301663,1827344.6131855,2765120.16655962,NA
1843,"leopard seals",2111,419.163213011419,1731.22919635161,2572.18466892536,3253.18590067206,3769.1479680685,4650.82544425323,48786.1643627869,NA
1843,"medium divers",2111,56000.8553456836,151684.166052688,279235.654336323,421208.834781129,674751.196083617,908721.345434032,1917444.35995999,NA
1843,"large divers",2111,1918.47807181228,5476.37830361435,11222.5392721098,19020.9258964338,45045.0494825763,346740.448199577,4437215.51605664,NA
1843,"minke whales",2111,1504.50223582034,6397.01870644295,13452.480751502,27385.1010177117,102744.994671086,23975685.423268,235517952.019232,NA
1843,"orca",2111,4217.98847426756,6698.2929598315,8288.80179898266,8939.37304076934,10277.252936403,20186.3379161091,357431.652167544,NA
1843,"sperm whales",2111,10576.9585052377,14404.8002952901,20638.3124330607,25063.779998991,117213.648985185,2942387.65443251,14699142.126415,NA
1843,"baleen whales",2111,104919.3700101,176433.518317696,902266.474812112,906629.075684578,3445612.26381628,19911262.8823511,116708390.731856,NA
1844,"mesozooplankton",2111,5384239.67517467,9132008.3344981,13176740.7632331,17673704.1428121,20815717.9297726,24930901.8113396,29134873.5735083,NA
1844,"other krill",2111,251154.487792153,1678023.1668704,5515908.90234753,11576611.8163868,30227590.8920789,73434415.1416185,121784191.417223,NA
1844,"other macrozooplankton",2111,1686380.21020848,8644925.3216909,16040133.6835338,19449660.8908486,23697334.1374738,28937928.2867084,39071207.8262479,NA
1844,"antarctic krill",2111,175521.035372919,2168660.00453136,7660833.98511536,13560005.7258998,24507673.5245254,36672586.5547583,57512235.219824,NA
1844,"salps",2111,113929.152599074,411857.629577331,850080.299399674,1088202.57789415,1565642.01859335,2085404.06916624,2898871.07958982,NA
1844,"mesopelagic fishes",2111,41322.2851642008,543896.938961696,1258081.91183953,1793389.94277579,2627437.9434823,3583385.84744293,4681419.59560987,NA
1844,"bathypelagic fishes",2111,346785.26403068,989045.352270249,1651742.03331104,2377966.26565654,3265927.03223557,4504764.12764173,7671182.22164117,NA
1844,"shelf and coastal fishes",2111,1138212.39084057,2466142.40280746,4196459.20160893,4869151.32014765,5546682.71188819,6269685.00694777,7572674.88405461,NA
1844,"flying birds",2111,3966.74507627947,5451.89190403743,5950.86593756022,6028.36012276087,6134.10234549463,6335.52459017025,6638.9381175927,NA
1844,"small divers",2111,11213.8809068169,22364.8127216647,35406.8253033004,38112.4309356212,40386.4266729534,43156.5257419116,48578.7502436025,NA
1844,"squids",2111,35487.7455073341,86351.7073859415,119938.149786248,139820.013960671,167593.02645906,295783.46939684,429785.337603668,NA
1844,"toothfishes",2111,2485.59528857228,132458.682634743,589074.586478211,995956.609431192,1347838.27394427,1828108.14818514,2765230.43265931,NA
1844,"leopard seals",2111,420.445022640942,1735.15860090331,2574.13743779817,3255.60317095564,3770.3729698144,4651.22013869641,48348.6479166378,NA
1844,"medium divers",2111,56173.5629201817,152067.339511126,278965.387281077,421028.38126356,673892.765788018,908097.479105905,1910043.09785417,NA
1844,"large divers",2111,1925.51208752841,5493.8118005708,11228.7609097918,19003.6383870588,44957.4548360133,344083.374773806,4413640.67521937,NA
1844,"minke whales",2111,1529.72411579279,6427.7139883111,13464.6903735725,27383.2706323879,102199.464149461,23893063.8052992,234738079.747054,NA
1844,"orca",2111,4227.50457013337,6703.76756881844,8290.32041819003,8939.62311919919,10273.7916743058,20155.3720915574,356482.639865894,NA
1844,"sperm whales",2111,10584.8793158129,14409.1647908236,20632.7408033754,25050.6539227389,117033.296184284,2937101.37896828,14672612.5253643,NA
1844,"baleen whales",2111,104995.757423909,176446.952473978,901365.55256902,905737.513279574,3441467.6977418,19886038.9801342,116559366.03637,NA
1845,"mesozooplankton",2111,4033254.33772494,7666808.12405252,12107780.5786169,16672320.0506041,19685374.5344371,23811285.2276356,27749759.5807119,NA
1845,"other krill",2111,221618.142160371,1502347.8140681,5015014.45103917,10779754.2992232,29614542.0455793,73365509.2127248,121439426.559001,NA
1845,"other macrozooplankton",2111,1612957.89238959,7873191.8140634,14798061.8639429,17991433.2292029,22036499.1815021,27128475.0658789,37241677.2408901,NA
1845,"antarctic krill",2111,172375.683969409,2118505.53393342,7403872.59397018,13161836.6435902,24261309.7498283,36273872.0883897,57381891.2870392,NA
1845,"salps",2111,112376.127332579,398234.67117314,828433.437769596,1063180.20073969,1544561.83768067,2068154.05135654,2896172.60901435,NA
1845,"mesopelagic fishes",2111,40521.5299435353,538790.221647384,1242750.29982272,1779330.77376575,2628370.83773398,3593554.65746366,4680566.39796215,NA
1845,"bathypelagic fishes",2111,349282.466632141,977165.205775238,1651367.14616905,2383114.24362824,3274861.94054721,4511124.03281788,7680856.01331844,NA
1845,"shelf and coastal fishes",2111,1137305.86412535,2464670.63246189,4194818.9154182,4868347.09037534,5547357.96838927,6268996.90292977,7573075.62148237,NA
1845,"flying birds",2111,3964.74675520634,5442.7196026212,5948.85915612223,6027.14012365266,6132.77885644675,6333.38658118077,6638.14290727837,NA
1845,"small divers",2111,11182.1961219705,22321.6903711687,35381.6596372611,38066.6408881701,40369.3403362599,43119.4837896237,48567.1611914479,NA
1845,"squids",2111,35893.2568353977,86624.2910656309,120016.657003655,139844.214699625,167761.478451243,296235.724413937,429858.083498377,NA
1845,"toothfishes",2111,2467.372111785,133767.107925183,591545.316766632,997058.398329017,1348322.28247948,1828834.55218533,2765303.65264406,NA
1845,"leopard seals",2111,421.796051512857,1742.52639181827,2576.4057131129,3255.36248064417,3772.30989849038,4651.07425319508,47915.2333973057,NA
1845,"medium divers",2111,56352.4797001952,152473.761006009,278658.746836528,420832.088774845,673465.266858021,907479.034783925,1902678.25348551,NA
1845,"large divers",2111,1932.79832734255,5509.38954644741,11225.9982883289,18995.2546016418,44931.4156602154,341443.482852775,4390176.74994408,NA
1845,"minke whales",2111,1556.31881592188,6463.09517791076,13475.69561406,27384.3287498325,101655.349216077,23810712.0474661,233960764.913143,NA
1845,"orca",2111,4236.9032585327,6709.10855832282,8291.7202156714,8939.821631159,10270.2711518301,20124.317601105,355536.20706566,NA
1845,"sperm whales",2111,10592.8008214993,14413.2453018911,20627.0332887827,25037.4264380372,116853.247449998,2931824.24294984,14646130.6980225,NA
1845,"baleen whales",2111,105066.421159684,176454.872991842,900461.558079186,904847.095608765,3437327.44943543,19860845.7663873,116410524.706069,NA
1846,"mesozooplankton",2111,4782537.16752507,8721020.06342199,12560863.1516238,17139026.3714112,20421305.9537508,24760048.9514353,28934122.4030007,NA
1846,"other krill",2111,202478.001935573,1498987.2041617,5106182.5367399,11167724.9087502,30277472.330062,76173337.027887,123789477.823966,NA
1846,"other macrozooplankton",2111,1570710.91020331,7606479.82678207,14691805.4561033,18386305.2916416,22327344.3145228,28041405.9329762,37937262.286145,NA
1846,"antarctic krill",2111,168488.341544908,2071565.49395639,7293893.23596754,13054639.0965508,24150507.8461638,36173169.4364417,57433471.4806578,NA
1846,"salps",2111,111290.076273385,397403.676428933,824337.586380301,1060851.90619101,1539031.08632121,2064338.35525436,2895614.58983005,NA
1846,"mesopelagic fishes",2111,39412.8334042362,539503.686188766,1240286.38669125,1772419.95801186,2622070.09033837,3583262.63089515,4669880.1208557,NA
1846,"bathypelagic fishes",2111,347742.01208161,977186.44152924,1646628.75151538,2377276.08655389,3273309.85267624,4502324.88132914,7677925.35174403,NA
1846,"shelf and coastal fishes",2111,1144272.18919236,2469714.71511565,4194264.48741858,4869919.90749667,5546108.03494595,6267093.15283526,7571321.36950808,NA
1846,"flying birds",2111,3965.81409911097,5446.96631544388,5949.84451614078,6027.51571152612,6133.37651924124,6332.93183159219,6637.69418068051,NA
